,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,Champerico,14.3,-91.92,293.71,96,78,0.45,GT,1605065469
369,Abu Samrah,35.3,37.18,287.73,77,0,0.64,SY,1605065469
370,Teya,60.38,92.63,270.18,94,73,4.46,RU,1605065469
371,Zyryanka,65.75,150.85,249.0,90,82,1.88,RU,1605065470
372,Søgne,58.08,7.82,282.04,93,100,0.5,NO,1605065470
373,Goryachegorsk,55.41,88.92,271.76,91,66,4.98,RU,1605065470
374,Vakhtan,57.97,46.69,271.9,96,97,4.23,RU,1605065470
375,Río Tercero,-32.17,-64.11,291.73,57,0,2.09,AR,1605065470
376,Faanui,-16.48,-151.75,298.96,78,100,4.8,PF,1605065471
377,Chifeng,42.27,118.96,287.91,31,3,4.74,CN,1605065471
378,Grinnell,41.74,-92.72,275.15,74,90,8.2,US,1605065412
379,Chernoyerkovskaya,45.43,37.77,275.15,69,0,4.0,RU,1605065471
380,Vao,-22.67,167.48,294.79,75,100,9.05,NC,1605065471
381,Port Hedland,-20.32,118.57,309.15,22,0,6.2,AU,1605065472
382,Tigre,-34.43,-58.58,293.71,77,0,5.7,AR,1605065472
383,Zhangjiakou,40.81,114.88,282.51,44,97,1.06,CN,1605065365
384,Mataró,41.54,2.44,287.59,77,0,0.89,ES,1605065473
385,Eyl,7.98,49.82,298.58,75,31,6.0,SO,1605065473
386,Charlestown,-32.95,151.67,298.15,53,20,6.2,AU,1605065473
387,Okha,53.57,142.95,268.97,90,100,6.47,RU,1605065474
388,Kaabong,3.48,34.15,291.11,84,50,4.12,UG,1605065474
389,Faya,18.39,42.45,286.15,87,0,0.54,SA,1605065475
390,Harar,9.31,42.13,290.41,60,47,0.76,ET,1605065475
391,Peniche,39.36,-9.38,287.04,87,1,5.36,PT,1605065475
392,Lavrentiya,65.58,-171.0,273.27,96,100,1.55,RU,1605065475
393,Shache,38.42,77.24,282.61,34,0,1.51,CN,1605065475
394,San Miguel de Cozumel,20.51,-86.95,299.82,84,71,5.36,MX,1605065476
395,Senador José Porfírio,-2.59,-51.95,297.94,87,100,1.54,BR,1605065476
396,Airai,-8.93,125.41,300.15,50,100,2.07,TL,1605065477
397,Bernalillo,35.05,-106.67,277.59,32,1,3.6,US,1605065477
398,Tabou,4.42,-7.35,298.72,87,96,3.74,CI,1605065477
399,Ngunguru,-35.62,174.5,294.26,56,19,4.02,NZ,1605065478
400,Vestmannaeyjar,63.44,-20.27,278.17,69,98,3.27,IS,1605065478
401,Ciudad Bolivar,8.12,-63.55,298.15,76,41,4.49,VE,1605065478
402,Mt. Pleasant,32.79,-79.86,297.15,94,90,3.1,US,1605064912
403,Killybegs,54.63,-8.45,283.15,96,100,2.24,IE,1605065479
404,Russell,32.35,-85.2,296.15,88,90,2.6,US,1605065479
405,Atambua,-9.11,124.89,303.92,52,99,1.55,ID,1605065479
406,Richards Bay,-28.78,32.04,292.65,87,100,3.45,ZA,1605065480
407,Bonavista,48.65,-53.11,284.26,81,77,6.7,CA,1605065480
408,Kiunga,-6.12,141.29,302.23,87,90,0.95,PG,1605065480
409,Samarai,-10.62,150.67,300.07,82,37,6.81,PG,1605065480
410,Kaoma,-14.78,24.8,293.58,49,47,1.39,ZM,1605065481
411,Kavieng,-2.57,150.8,302.32,68,17,2.61,PG,1605065481
412,Strezhevoy,60.73,77.59,270.15,92,90,1.0,RU,1605065481
413,Durant,33.99,-96.37,285.37,61,1,2.1,US,1605065434
414,Kilindoni,-7.91,39.67,299.48,80,96,4.36,TZ,1605065226
415,Toamasina,-18.17,49.38,295.15,94,75,1.5,MG,1605065482
416,Tay Ninh,11.3,106.1,296.48,86,100,0.95,VN,1605065482
417,Ürümqi,43.8,87.6,277.15,60,0,1.0,CN,1605065413
418,Sumenep,-7.02,113.87,305.27,50,14,4.25,ID,1605065483
419,Troitsko-Pechorsk,62.71,56.2,268.84,96,85,3.24,RU,1605065483
420,Kalmunai,7.42,81.82,301.54,73,100,1.46,LK,1605065483
421,Pout,14.77,-17.06,297.15,94,1,2.1,SN,1605065484
422,Tezpur,26.63,92.8,296.71,66,1,2.04,IN,1605065484
423,Margate,51.38,1.39,284.26,93,50,0.45,GB,1605065485
424,Wilmington,34.23,-77.94,296.15,83,1,3.1,US,1605065485
425,Songjianghe,42.19,127.48,282.26,49,0,3.48,CN,1605065485
426,Jaumave,23.42,-99.38,292.5,77,3,0.63,MX,1605065485
427,Gwanda,-20.93,29.0,291.43,86,100,6.5,ZW,1605065485
428,Rocha,-34.48,-54.33,285.69,93,2,1.22,UY,1605065486
429,Carndonagh,55.25,-7.27,285.41,88,100,6.84,IE,1605065486
430,Port Hardy,50.7,-127.42,280.15,100,40,3.1,CA,1605065486
431,Yanam,16.73,82.22,300.15,57,40,2.6,IN,1605065486
432,Gao,16.64,1.64,294.05,24,0,6.06,ML,1605065487
433,Krasnogorodskoye,56.84,28.28,273.37,98,11,1.42,RU,1605065487
434,Verkhnyaya Inta,65.98,60.31,267.4,98,100,6.08,RU,1605065487
435,Mahon,39.89,4.27,286.15,93,0,3.6,ES,1605065487
436,Shar,49.59,81.05,277.94,67,99,9.0,KZ,1605065488
437,Paciran,-6.88,112.38,305.37,52,5,1.45,ID,1605065488
438,Catia La Mar,10.6,-67.03,299.15,94,20,2.1,VE,1605065488
439,Doumé,4.23,13.45,292.37,88,23,0.16,CM,1605065489
440,Tucuruí,-3.77,-49.67,297.02,91,95,1.65,BR,1605065489
441,Natal'insk,56.47,57.87,269.34,94,100,4.11,RU,1605065490
442,Maniitsoq,65.42,-52.9,266.63,91,92,0.59,GL,1605065490
443,Riyadh,24.69,46.72,293.15,56,0,1.5,SA,1605065490
444,Tessalit,20.2,1.01,292.71,27,0,5.28,ML,1605065490
445,Yeppoon,-23.13,150.73,301.15,39,40,4.1,AU,1605065491
446,Key West,24.56,-81.78,300.15,78,75,11.3,US,1605065121
447,Saint Lawrence,36.06,14.2,289.26,87,0,1.0,MT,1605065491
448,Knysna,-34.04,23.05,286.15,87,75,1.0,ZA,1605065492
449,North Platte,41.12,-100.77,271.15,74,1,3.6,US,1605065492
450,Katherine,-14.47,132.27,310.15,35,40,3.6,AU,1605065492
451,Coyhaique,-45.58,-72.07,286.15,71,0,2.6,CL,1605065493
452,Panjāb,34.39,67.02,277.15,53,94,1.36,AF,1605065493
453,Jiaocheng,24.68,116.14,298.91,25,0,1.96,CN,1605065493
454,Balkhash,46.84,74.98,276.15,86,0,2.0,KZ,1605065395
455,Aloleng,16.13,119.78,302.69,73,75,7.72,PH,1605065494
456,Tanhaçu,-14.02,-41.25,292.84,88,0,1.97,BR,1605065494
457,Corrientes,-27.48,-58.83,296.48,83,0,1.5,AR,1605065494
458,Henties Bay,-22.12,14.28,286.48,93,0,0.76,NA,1605065495
459,Mattru,7.62,-11.83,296.06,97,0,0.74,SL,1605065495
460,Yurécuaro,20.33,-102.3,289.66,60,4,0.77,MX,1605065495
461,Zhangye,38.93,100.45,282.54,34,40,1.64,CN,1605065496
462,Ixtapa,20.7,-105.2,299.15,74,75,2.1,MX,1605065496
463,Asău,46.43,26.4,277.59,94,89,0.95,RO,1605065496
464,Yel'nya,54.58,33.18,272.09,99,11,2.42,RU,1605065497
465,Nyurba,63.28,118.33,272.16,95,100,3.05,RU,1605065497
466,Bara,10.37,10.73,294.51,32,4,3.02,NG,1605065497
467,Sabana de Torres,7.39,-73.5,296.9,92,100,1.03,CO,1605065497
468,Bandarbeyla,9.49,50.81,298.22,78,20,6.99,SO,1605065498
469,Koundara,12.48,-13.3,295.01,63,0,0.76,GN,1605065498
470,Evensk,61.95,159.23,256.41,84,65,3.41,RU,1605065498
471,São José dos Campos,-23.18,-45.89,292.15,93,20,1.0,BR,1605065499
472,Tiznit Province,29.58,-9.5,288.1,45,5,1.24,MA,1605065499
473,Mana,5.66,-53.78,298.91,88,77,3.17,GF,1605065499
474,Mogadishu,2.04,45.34,298.36,69,100,3.33,SO,1605065307
475,Caxito,-8.58,13.66,298.15,83,75,3.1,AO,1605065500
476,Campbell River,50.02,-125.24,275.93,100,40,1.0,CA,1605065347
477,Sharjah city,25.36,55.4,297.15,83,0,2.1,AE,1605065500
478,Raipur,21.23,81.63,294.64,51,0,2.61,IN,1605064844
479,Arlit,18.74,7.39,292.11,36,0,1.95,NE,1605065501
480,Inhambane,-23.86,35.38,296.87,83,16,3.42,MZ,1605065501
481,Vozhega,60.47,40.22,271.76,95,94,3.69,RU,1605065501
482,Dalby,-27.18,151.27,299.15,34,0,4.1,AU,1605065502
483,Muroto-misakicho,33.28,134.15,291.15,39,20,5.7,JP,1605065502
484,Srednekolymsk,67.45,153.68,249.66,90,85,4.19,RU,1605065502
485,Puerto del Rosario,28.5,-13.86,293.15,77,40,5.1,ES,1605065502
486,Yuzhne,46.62,31.1,275.15,68,0,2.0,UA,1605065503
487,Marystown,47.17,-55.15,282.59,100,2,8.16,CA,1605065503
488,Raudeberg,61.99,5.14,283.15,87,92,5.1,NO,1605065503
489,Sistranda,63.73,8.83,279.15,93,40,7.2,NO,1605065504
490,Constitución,-35.33,-72.42,284.37,92,10,1.62,CL,1605065504
491,Prince Rupert,54.32,-130.32,278.15,80,1,2.1,CA,1605065457
492,College,64.86,-147.8,268.15,85,75,2.6,US,1605065505
493,Codrington,-38.27,141.97,291.15,92,100,2.69,AU,1605065505
494,Isiro,2.77,27.62,291.01,98,79,0.6,CD,1605065505
495,Lukovetskiy,64.3,41.92,272.15,86,40,2.0,RU,1605065506
496,Salinópolis,-0.61,-47.36,299.67,83,91,3.9,BR,1605065507
497,Geraldton,-28.77,114.6,293.15,42,100,3.1,AU,1605065381
498,Galveston,29.37,-94.97,296.15,88,1,1.5,US,1605065275
499,Saint-Joseph,-21.37,55.62,298.15,57,0,1.5,RE,1605065508
500,Niltepec,16.57,-94.62,296.82,88,51,1.81,MX,1605065508
501,Barra do Garças,-15.89,-52.26,297.2,69,24,1.05,BR,1605065508
502,Qui Nhon,13.77,109.23,300.6,79,2,1.35,VN,1605065508
503,Luwuk,-0.95,122.79,304.6,52,71,1.29,ID,1605065509
504,Tommot,58.96,126.29,273.7,93,93,2.93,RU,1605065510
505,Mel'nikovo,56.56,84.08,273.15,84,100,4.98,RU,1605065510
506,Krasnosel'kup,65.7,82.47,254.21,92,35,2.19,RU,1605065510
507,Hervey Bay,-25.3,152.85,301.48,42,40,4.6,AU,1605065511
508,Mudanya,40.38,28.88,287.15,87,40,4.41,TR,1605065511
509,Port Lincoln,-34.73,135.87,291.12,70,47,13.24,AU,1605065511
510,Mabaruma,8.2,-59.78,296.9,95,15,1.13,GY,1605065511
511,Pangnirtung,66.15,-65.71,259.25,79,0,2.91,CA,1605065512
512,Santa Rosa,14.31,121.11,301.15,88,75,3.6,PH,1605065512
513,Mocuba,-16.84,36.99,297.24,89,28,2.09,MZ,1605065512
514,La Paz,-16.5,-68.15,277.15,80,75,2.1,BO,1605065405
515,Gorin,51.2,136.67,269.3,81,6,3.81,RU,1605065513
516,Algiers,36.75,3.04,290.15,93,40,2.1,DZ,1605065495
517,Ayan,56.45,138.17,270.21,85,68,1.66,RU,1605065513
518,Hanting,36.77,119.21,292.39,29,0,4.21,CN,1605065514
519,Ivankiv,50.94,29.89,275.15,100,0,1.0,UA,1605065514
520,Chara,56.91,118.26,272.18,95,99,0.7,RU,1605065514
521,Zhaozhou,45.68,125.32,283.33,50,0,6.44,CN,1605065514
522,Dongsheng,39.82,109.98,283.84,59,1,6.95,CN,1605065515
523,Huarmey,-10.07,-78.15,289.5,87,79,2.06,PE,1605065515
524,Shimoda,34.67,138.95,290.15,42,40,6.7,JP,1605065515
525,Baracoa,20.35,-74.5,298.7,83,97,0.57,CU,1605065516
526,Gornyy,55.12,83.91,272.93,100,100,3.15,RU,1605065516
527,Maceió,-9.67,-35.74,295.15,100,40,1.0,BR,1605065399
528,Poum,-20.23,164.02,295.66,81,100,1.22,NC,1605065517
529,Coolum Beach,-26.53,153.1,298.15,66,0,1.79,AU,1605065517
530,Porto Empedocle,37.29,13.53,286.48,100,0,0.45,IT,1605065517
531,Monticello,45.31,-93.79,270.93,86,90,5.69,US,1605065518
532,Denpasar,-8.65,115.22,303.15,74,40,3.1,ID,1605065518
533,Pitimbu,-7.47,-34.81,297.15,88,75,1.5,BR,1605065518
534,Morshansk,53.44,41.81,272.3,94,32,4.51,RU,1605065519
